product_name,wine_type,flavor,location,available_qty
"Вино Vinprom Rousse, Domashnee Vino Cabernet Sauvignon 0.75 л","Красное,  Полусладкое",Каберне Совиньон,Болгария,
"Вино Кубань-Вино, Франковка 0.75 л","Красное,  Сухое",Франковка,"Россия,  Краснодарский край",
Вино Maison du Soleil Cabernet Sauvignon 0.75 л,"Красное,  Сухое",Каберне Совиньон,Франция,
"Вино Бюрнье, #Для Меня 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон",Россия,
Вино Марселан Солнечной Долины 0.75 л,"Красное,  Сухое","Марселан,  Кариньяно",Крым,
"Вино J.Moreau & Fils, Select Rouge 0.75 л","Красное,  Полусухое","Кариньяно,  Мурведр,  Сенсо,  Сира,  Гарнача,  Гренаш","Франция,  Долина Роны",
"Вино ACT, Пиросмани 0.75 л","Красное,  Полусухое",Саперави,Грузия,
Вино Le Tresor du Roi Rouge Sec 0.75 л,"Красное,  Сухое","Кариньяно,  Темпранильо","Франция,  Лангедок-Руссийон",
Вино Marquis de Croise Rouge Moelleux 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Франция,  Долина Роны",
"Вино Pagos del Rey, Ouno Tempranillo, Toro DO 2018 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Торо",
"Вино Companhia das Quintas, Amaritis Tinto 0.75 л","Красное,  Сухое",Красные сорта винограда,Португалия,
"Вино Farnese, Fantini Montepulciano d'Abruzzo DOC 2017 0.75 л","Красное,  Сухое",Монтепульчано,"Италия,  Абруццо,  Монтепульчано д'Абруццо",
Вино Старый Метехи Домашнее Красное сухое 0.75 л,"Красное,  Сухое","Саперави,  Пино Нуар,  Каберне Совиньон","Грузия,  Кахетия",
Вино Старый Метехи Домашнее Красное полусладкое 0.75 л,"Красное,  Полусладкое","Саперави,  Пино Нуар,  Каберне Совиньон","Грузия,  Кахетия",
"Вино Peter Mertes, Schloss Sommerau Red Sweet Alcoholfree 0.75 л","Красное,  Сладкое",Каберне Совиньон и Мерло,"Германия,  Рейнхессен",
"Вино Вазиани, Алазанская Долина Красное 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
Вино Campero Carmenere 0.75 л,"Красное,  Сухое",Карменере,"Чили,  Центральная Долина",
"Вино Вазиани, Пиросмани 0.75 л","Красное,  Полусухое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
Вино Arts Beaujolais Villages Primeur AOP 0.75 л,"Красное,  Сухое",Гаме,"Франция,  Бургундия,  Кот д'Ор",
"Вино Companhia das Quintas, Forgotten Field Tinto, Lisboa VR 0.75 л","Красное,  Сухое","Каштелау,  Красные сорта винограда",Португалия,
"Вино Oro Negro Bonarda-Malbec, Mendoza 0.75 л","Красное,  Сухое","Бонарда,  Мальбек","Аргентина,  Мендоса",
"Вино Maison Bouey, Malbec-Syrah, Comte Tolosan IGP 0.75 л","Красное,  Сухое","Мальбек,  Сира","Франция,  Юго-запад Франции",
"Вино Vinprom Rousse, Classic Collection Kadarka Semi-Sweet 0.75 л","Красное,  Полусладкое","Памид,  Кадарка",Болгария,
"Вино Вазиани, Саперави 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
Вино Bonne Nouvelle Rouge 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Франция,  Лангедок-Руссийон",
Вино Крымское Красное полусладкое 0.7 л,"Красное,  Полусладкое","Саперави,  Мерло,  Каберне Совиньон","Россия,  Краснодарский край,  Крымск",
Вино Viva Corsica Rouge 0.75 л,"Красное,  Сухое",Ниеллучио,"Франция,  Корсика",
"Вино Вазиани, Мукузани 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
"Вино Domaine Boyar, Quantum Syrah & Cabernet Sauvignon PGI 0.75 л","Красное,  Сухое","Каберне Совиньон,  Сира",Болгария,
"Вино Domaine Boyar, Quantum Pinot Noir & Merlot 0.75 л","Красное,  Сухое","Пино Нуар,  Мерло",Болгария,
"Вино Domaine Boyar, Quantum Mavrud & Merlot 0.75 л","Красное,  Сухое","Мавруд,  Мерло",Болгария,
"Вино Ca'Tullio, Patriarca Refosco dal Peduncolo Rosso, Friuli Aquileia DOC 0.75 л","Красное,  Сухое",Рефоско,"Италия,  Фриули-Венеция-Джулия",
"Вино Maison Bouey, Chateau d'Hautefeuille, Bordeaux AOC 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо",
Вино BIOrebe Merlot 0.75 л,"Красное,  Полусухое",Мерло,"Франция,  Долина Роны",
Вино BIOrebe Cabernet Sauvignon 0.75 л,"Красное,  Сухое",Каберне Совиньон,"Италия,  Сицилия",
"Вино Duprais Rouge, Bordeaux AOC 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо",
"Вино Вазиани, Ахашени 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Ахашени",
"Вино Вазиани, Киндзмараули 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Киндзмараули",
"Вино Chateau du Petit Lac, Bergerac AOC 0.75 л","Красное,  Сухое","Каберне Фран,  Мерло,  Каберне Совиньон","Франция,  Юго-запад Франции",
"Вино Millaman, Estate Reserve Cabernet Sauvignon-Malbec 2018 0.75 л","Красное,  Сухое","Мальбек,  Каберне Совиньон","Чили,  Центральная Долина,  Долина Курико",
"Вино Casa Girelli, Canaletto Rosso Italiano 0.75 л","Красное,  Сухое",Красные сорта винограда,"Италия,  Ломбардия,  Провинция ди Павия",
"Вино Chateau Bauvallon, Bordeaux AOC 2015 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо",
"Вино Casa Girelli, Canaletto Chianti DOCG 2016 0.75 л","Красное,  Сухое",Санджовезе,"Италия,  Тоскана,  Кьянти",
"Вино Casa Girelli, Canaletto Pinot Noir, Provincia di Pavia IGT 2016 0.75 л","Красное,  Сухое",Пино Нуар,"Италия,  Ломбардия,  Провинция ди Павия",
Вино Селлар Мастер Каберне Бахчисарая 2017 0.75 л,"Красное,  Сухое",Каберне Совиньон,Крым,
"Вино La Fenice, Negramaro IGP 2017 0.75 л","Красное,  Полусухое",Негроамаро,"Италия,  Апулия",
"Вино Алаверды, Ахашени 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Ахашени",
Вино Мегобари Мукузани 0.75 л,"Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
"Вино Алаверды, Киндзмараули 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Кварели",
Вино Абшерон-Шараб Чинар 0.75 л,"Красное,  Полусладкое","Мадраса,  Каберне Совиньон",Азербайджан,
"Вино Castillo de Cortes Cabernet Sauvignon Semidulce, Tierra de Castilla IGP 0.75 л","Красное,  Полусладкое",Каберне Совиньон,"Испания,  Кастилия Ла Манча",
Вино Finca el Rejoneo Tempranillo 0.75 л,"Красное,  Сухое",Темпранильо,"Испания,  Кастилия Ла Манча",
Вино Terrasole Rosso Medium Sweet 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Италия,  Эмилия-Романья",
"Вино Pasqua, Sangiovese, Puglia IGT 0.75 л","Красное,  Полусухое",Санджовезе,"Италия,  Апулия",
Вино Старый Тбилиси Мукузани 0.75 л,"Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
"Вино Cono Sur, Bicicleta Carmenere, Rapel Valley DO 2019 0.75 л","Красное,  Сухое","Красные сорта винограда,  Мальбек,  Пти Вердо,  Каберне Совиньон,  Кариньяно,  Карменере","Чили,  Центральная Долина,  Рапель",
"Вино Georgian Wine House, Gremiseuli Akhasheni 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Ахашени",
"Вино Georgian Wine House, Tbilisoba Akhasheni 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Ахашени",
"Вино Кахетинские подвалы Саперави, матовая бутылка 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Schenk Italia, Coppiere Chianti DOCG 2016 0.75 л","Красное,  Сухое",Санджовезе,"Италия,  Тоскана,  Кьянти",
"Вино Кахетинские подвалы Алазанская Долина Красное, матовая бутылка 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино Georgian Wine House, Gremiseuli Mukuzani 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
Вино Легенды Кахети Мукузани 0.7 л,"Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
Вино Вилла Крым Шевалье Руж 1.5 л,"Красное,  Полусладкое","Бастардо,  Красные сорта винограда",Крым,
"Вино Georgian Wine House, Tbilisoba Mukuzani 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
"Вино Botter, Chianti DOCG 2017 0.75 л","Красное,  Сухое",Санджовезе,"Италия,  Тоскана,  Кьянти",
"Вино Botter, Chianti DOCG 2018 0.75 л","Красное,  Сухое",Санджовезе,"Италия,  Тоскана,  Кьянти",
"Вино Schenk Italia, Coppiere Nero d'Avola, Sicilia IGT 0.75 л","Красное,  Сухое","Италия,  Сицилия",,
"Вино Botter, Primitivo, Salento IGT 2018 0.75 л","Красное,  Сухое",Примитиво,"Италия,  Апулия,  Саленто",
Вино Легенды Кахети Пиросмани 0.7 л,"Красное,  Полусухое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино Finca el Rejoneo Crianza, Valdepenas DO 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Вальдепеньяс",
"Вино Georgian Wine House, Gremiseuli Saperavi 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино El Misionero Crianza, La Mancha DO 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Ла Манча",
"Вино Georgian Wine House, Tbilisoba Pirosmani 0.75 л","Красное,  Полусухое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино Georgian Wine House, Tbilisoba Saperavi 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Schenk Italia, Coppiere Montepulciano d'Abruzzo DOC 0.75 л","Красное,  Сухое","Италия,  Абруццо,  Монтепульчано д'Абруццо",,
"Вино Georgian Wine House, Gremiseuli Alazani Valley Red 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
Вино Легенды Кахети Алазанская Долина Красное 0.7 л,"Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино Foncalieu, L'Autantique Cabernet Sauvignon, Pays d'Oc IGP 2017 0.75 л","Красное,  Сухое",Каберне Совиньон,"Франция,  Лангедок-Руссийон",
"Вино Georgian Wine House, Tbilisoba Alazani Valley Red 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино Casa Ermelinda Freitas, Monte da Baia Tinto 0.75 л","Красное,  Сухое","Каштелау,  Турига Насьональ,  Сира","Португалия,  Алентежу,  Сетубал",
"Вино Georgian Wine House, Alazanis Vazi Saperavi 0.7 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Georgian Wine House, Kakhuri Kvevri Saperavi 0.7 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Rio de la Luna Cabernet Sauvignon, Valdepenas DO 0.75 л","Красное,  Сухое",Каберне Совиньон,"Испания,  Вальдепеньяс",
"Вино Georgian Wine House, Alazanis Vazi Alazani Valley Red 0.7 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино Georgian Wine House, Alazanis Vazi Domashnee Red Semi-Sweet 0.7 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия",
"Вино Georgian Wine House, Kakhuri Kvevri Alazani Valley Red 0.7 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Алазанская долина",
"Вино Georgian Wine House, Kakhuri Kvevri Domashnee Red Semi-Sweet 0.7 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия",
"Вино Georgian Wine House, Old Georgia Domashnee Red Semi-Sweet 0.7 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия",
"Вино Muelle Gran Seleccion, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Кастилия Ла Манча",
"Вино Georgian Wine House, Kakhuri Kvevri Domashnee Red Dry 0.7 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Georgian Wine House, Alazanis Vazi Domashnee Red Dry 0.7 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Foncalieu, L'Autantique Merlot, Pays d'Oc IGP 2015 0.75 л","Красное,  Сухое",Мерло,"Франция,  Лангедок-Руссийон",
Вино Караван Сарай 0.75 л,"Красное,  Сухое",Матраса,Азербайджан,
"Вино Georgian Wine House, Old Georgia Domashnee Red Semi-Dry 0.7 л","Красное,  Полусухое",Саперави,"Грузия,  Кахетия",
"Вино Georgian Wine House, Kakhuri Kvevri Domashnee Red Semi-Dry 0.7 л","Красное,  Полусухое",Саперави,"Грузия,  Кахетия",
"Вино Muelle Tempranillo-Syrah, Tierra de Castilla IGP 0.75 л","Красное,  Сухое","Темпранильо,  Сира","Испания,  Кастилия Ла Манча",
Вино Castillos de Espana Tinto Seco 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Испания,  Мурсия",
Вино Castillos de Espana Tinto Semidulce 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Испания,  Мурсия",
"Вино Solar de Carrion Crianza, Rioja DOC 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Риоха",
"Вино Finca el Rejoneo Cabernet Sauvignon, Valdepenas DO 0.75 л","Красное,  Сухое",Каберне Совиньон,"Испания,  Вальдепеньяс",
"Вино Finca el Rejoneo Gran Reserva, Valdepenas DO 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Вальдепеньяс",
"Вино El Misionero Reserva, Valdepenas DO 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Вальдепеньяс",
"Вино Laguna del Coronel Cabernet Sauvignon Semidulce, Tierra de Castilla IGP 0.75 л","Красное,  Полусладкое",Каберне Совиньон,"Испания,  Кастилия Ла Манча",
"Вино Castillo de Cortes Cabernet Sauvignon Seco, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Каберне Совиньон,"Испания,  Кастилия Ла Манча",
"Вино Castillo de Cortes Merlot, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Мерло,"Испания,  Кастилия Ла Манча",
"Вино Castillo de Cortes Syrah, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Сира,"Испания,  Кастилия Ла Манча",
"Вино Laguna del Coronel Syrah, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Сира,"Испания,  Кастилия Ла Манча",
"Вино Эльбузд, Мерло 0.75 л","Красное,  Сухое",Мерло,"Россия,  Ростовская область",
"Вино Эльбузд, Пино Нуар 0.75 л","Красное,  Сухое",Пино Нуар,"Россия,  Ростовская область",
Вино Finca el Rejoneo Tempranillo Semidulce 0.75 л,"Красное,  Полусладкое",Темпранильо,"Испания,  Кастилия Ла Манча",
"Вино El Misionero Tempranillo Semidulce, La Mancha DO 0.75 л","Красное,  Полусладкое",Темпранильо,"Испания,  Ла Манча",
"Вино El Misionero Tempranillo, La Mancha DO 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Ла Манча",
"Вино Casa Sancho Cabernet Sauvignon Semidulce, Tierra de Castilla IGP 0.75 л","Красное,  Полусладкое",Каберне Совиньон,"Испания,  Кастилия Ла Манча",
Вино Саук-Дере красное сухое 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Россия,  Краснодарский край,  Крымск",
Вино Ликурия Мерло 0.75 л,"Красное,  Сухое",Мерло,"Россия,  Краснодарский край",
"Вино Paul Sapin, Mini Merlot 0.187 л","Красное,  Сухое",Мерло,Франция,
"Вино Paul Sapin, Mini Shiraz 0.187 л","Красное,  Сухое",Шираз,Франция,
"Вино Алаверды, Саперави 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия",
"Вино Boccantino Nero d'Avola, Terre Siciliane IGT 2018 0.75 л","Красное,  Сухое","Италия,  Сицилия",,
"Вино Marquis d'Orlean Cabernet Sauvignon Moelleux, Pays d'Oc IGP 0.75 л","Красное,  Полусладкое",Каберне Совиньон,"Франция,  Лангедок-Руссийон",
"Вино Алаверды, Мукузани 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
Вино Baron de Cresset Rouge Demi-Sec 0.75 л,"Красное,  Полусухое",Красные сорта винограда,"Франция,  Бургундия",
Вино Pierre La Grange Rouge Demi-Sec 0.75 л,"Красное,  Полусухое",Красные сорта винограда,"Франция,  Бургундия",
"Вино Croix d'Or Syrah Sec, Pays d'Oc IGP 2017 0.75 л","Красное,  Сухое",Сира,"Франция,  Лангедок-Руссийон",
"Вино Croix d'Or Cabernet Sauvignon Moelleux, Pays d'Oc IGP 0.75 л","Красное,  Полусладкое",Каберне Совиньон,"Франция,  Лангедок-Руссийон",
"Вино Алаверды, Пиросмани 0.75 л","Красное,  Полусухое",Саперави,"Грузия,  Кахетия",
Вино Мегобари Алазанская Долина Красное полусладкое 0.75 л,"Красное,  Полусладкое","Саперави,  Красные сорта винограда","Грузия,  Кахетия,  Алазанская долина",
Вино Cavatina Montepulciano d'Abruzzo DOC 0.75 л,"Красное,  Сухое",Монтепульчано,"Италия,  Абруццо,  Монтепульчано д'Абруццо",
"Вино Алаверды, Алазанская Долина Красное 0.75 л","Красное,  Полусладкое","Муджуретули,  Александроули,  Саперави,  Красные сорта винограда","Грузия,  Кахетия,  Алазанская долина",
Вино Duc de Monflory Rouge Sec 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Франция,  Бургундия",
"Вино Peter Mertes, Freetime Merlot 0.75 л","Красное,  Полусладкое",Мерло,Германия,
Вино Baron de Cresset Rouge Sec 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Франция,  Бургундия",
Вино Grand Boulevard Rouge Demi Sec 0.75 л,"Красное,  Полусухое",Красные сорта винограда,Франция,
Вино Grand Boulevard Rouge Sec 0.75 л,"Красное,  Сухое",Красные сорта винограда,Франция,
Вино Finca el Puntal Tempranillo 0.75 л,"Красное,  Сухое",Темпранильо,"Испания,  Мурсия",
Вино Cordero Rosso 0.75 л,"Красное,  Сухое",Красные сорта винограда,Италия,
"Вино Spier, Lift Pinotage-Shiraz 2018 0.75 л","Красное,  Сухое","Шираз,  Пинотаж","ЮАР,  Западный Кейп",
Вино Coloma Cuvee Joven 0.75 л,"Красное,  Сухое","Гарнача,  Гренаш,  Каберне Совиньон,  Сира","Испания,  Эстремадура",
Вино Grazing Hog G.M.T 0.75 л,"Красное,  Сухое","Гарнача,  Гренаш,  Мурведр,  Таннат","ЮАР,  Западный Кейп",
"Вино Chateau Les Millaudes, Bergerac AOC 2015 0.75 л","Красное,  Сухое","Каберне Фран,  Мерло,  Каберне Совиньон","Франция,  Юго-запад Франции",
"Вино Bodegas del Rosario, Las Renas Cuatro, Bullas DO 0.75 л","Красное,  Сухое","Монастрель,  Темпранильо,  Каберне Совиньон,  Сира","Испания,  Мурсия",
"Вино Casa Sancho Cabernet Sauvignon Seco, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Каберне Совиньон,"Испания,  Кастилия Ла Манча",
"Вино Casa Sancho Merlot, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Мерло,"Испания,  Кастилия Ла Манча",
"Вино Casa Sancho Syrah, Tierra de Castilla IGP 0.75 л","Красное,  Сухое",Сира,"Испания,  Кастилия Ла Манча",
Вино Chatelain Louis Rouge Moelleux 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,Франция,
Вино Chatelain Louis Rouge Sec 0.75 л,"Красное,  Сухое",Красные сорта винограда,Франция,
Вино Chevalier de Bur Rouge Sec 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Франция,  Бордо",
Вино Tierra Santa Tinto Semidulce 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Испания,  Кастилия Ла Манча",
Вино Juan Ramon Tinto Semidulce 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Испания,  Кастилия Ла Манча",
Вино Tierra Santa Tinto Seco 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Испания,  Кастилия Ла Манча",
Вино Juan Ramon Tinto Seco 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Испания,  Кастилия Ла Манча",
Вино Patio Andaluz Tinto Semidulce 0.75 л,"Красное,  Полусладкое",Красные сорта винограда,"Испания,  Кастилия Ла Манча",
Вино Patio Andaluz Tinto Seco 0.75 л,"Красное,  Сухое",Красные сорта винограда,"Испания,  Кастилия Ла Манча",
Вино Yves Roches Rouge Sec 0.75 л,"Красное,  Сухое",Красные сорта винограда,Франция,
"Вино Кахетинские подвалы Мукузани, матовая бутылка 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
"Вино Boutinot, The Last Stand Shiraz 2018 0.75 л","Красное,  Сухое",Шираз,"Австралия,  Виктория",
"Вино Кахетинские подвалы Ахашени, матовая бутылка 0.75 л","Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Ахашени",
"Вино Borgo Tesis Refosco dal Peduncolo Rosso, Friuli DOC Grave 2017 0.75 л","Красное,  Сухое",Рефоско,"Италия,  Фриули-Венеция-Джулия,  Фриули Грав",
"Вино Borgo Tesis Merlot, Friuli DOC Grave 0.75 л","Красное,  Сухое",Мерло,"Италия,  Фриули-Венеция-Джулия,  Фриули Грав",
"Вино Finca el Rejoneo Seleccion Syrah, Valdepenas DO 0.75 л","Красное,  Сухое",Сира,"Испания,  Вальдепеньяс",
"Вино Traversa, Tannat Merlot 2018 0.75 л","Красное,  Сухое","Таннат,  Мерло",Уругвай,
"Вино Traversa, Tannat 2018 0.75 л","Красное,  Сухое","Таннат,  Мерло",Уругвай,
"Вино Vicente Gandia, Hoya de Cadenas Reserva Tempranillo, Utiel-Requena DO 2014 0.75 л","Красное,  Сухое",Темпранильо,"Испания,  Валенсия,  Утель-Рекена",
"Вино Alceno, Barinas Monastrell, Jumilla DOP 2018 0.75 л","Красное,  Сухое","Монастрель,  Сира","Испания,  Мурсия,  Хумилья",
"Вино Cantina di Negrar, Corvina, Verona IGT 2018 0.75 л","Красное,  Сухое",Корвина,"Италия,  Венето,  Верона",
"Вино Chateau Bernarderie, Francs Cotes de Bordeaux AOC 2015 0.75 л","Красное,  Сухое",Мерло,"Франция,  Бордо,  Кот де Бордо",
"Вино Chateau l'Amandier, Bordeaux Superieur AOC 2016 0.75 л","Красное,  Сухое",Каберне Совиньон и Мерло,"Франция,  Бордо,  Бордо Сюпериёр",
"Вино Chateau Mondesir, Bergerac AOC 2016 0.75 л","Красное,  Сухое","Каберне Фран,  Мерло,  Каберне Совиньон","Франция,  Юго-запад Франции",
Вино Мегобари Киндзмараули 0.75 л,"Красное,  Полусладкое",Саперави,"Грузия,  Кахетия,  Киндзмараули",
"Вино Dominic Wines, Moon Harvest Shiraz 0.75 л","Красное,  Сухое",Шираз,"Австралия,  Южная Австралия",
Вино Tiefgang Spatburgunder Kalkstein 2018 0.75 л,"Красное,  Сухое",Пино Нуар,"Германия,  Пфальц",
"Вино Cantina della Torre, Chianti DOCG 0.75 л","Красное,  Сухое","Красные сорта винограда,  Санджовезе","Италия,  Тоскана,  Кьянти",
Вино Мегобари Саперави 0.75 л,"Красное,  Сухое","Саперави,  Красные сорта винограда","Грузия,  Кахетия",
"Вино Chateau Reulet, Corbieres AOC 2016 0.75 л","Красное,  Сухое",Красные сорта винограда,"Франция,  Лангедок-Руссийон,  Корбьер",
"Вино Casa Maschito, Basilicata Rosso IGT 0.75 л","Красное,  Сухое",Альянико,"Италия,  Базиликата",
"Вино Santa Camila, Sol de Andes Carmenere 0.75 л","Красное,  Сухое",Карменере,"Чили,  Центральная Долина,  Долина Мауле",
"Вино Chateau Grand Rousseau, Bordeaux AOC 2017 0.75 л","Красное,  Сухое","Мерло,  Каберне Совиньон","Франция,  Бордо",
Вино Мегобари Алазанская Долина Красное полусладкое 1.5 л,"Красное,  Полусладкое","Саперави,  Красные сорта винограда","Грузия,  Кахетия,  Алазанская долина",
Вино Большая Ялта Красное полусладкое 1 л,"Красное,  Полусладкое","Бастардо Магарачский,  Красные сорта винограда,  Каберне Совиньон",Крым,
Вино Большая Ялта Каберне 1 л,"Красное,  Сухое",Каберне Совиньон,Крым,
"Вино Roagna, Dolcetto d'Alba DOC 2018 0.75 л","Красное,  Сухое",Дольчетто,"Италия,  Пьемонт,  Альба",
"Вино Vecchia Cantina di Montepulciano, Chianti DOCG Riserva 2016 0.375 л","Красное,  Сухое","Треббьяно,  Мальвазия,  Канайоло,  Санджовезе","Италия,  Тоскана,  Кьянти",
Вино Steakwine Cabernet Sauvignon 2018 0.75 л,"Красное,  Полусухое",Каберне Совиньон,"Аргентина,  Мендоса",
Вино Сатера Красное сухое 0.75 л,"Красное,  Сухое",Красные сорта винограда,Крым,
Вино Sun Valley Cabernet 0.75 л,"Красное,  Сухое",Каберне Совиньон,Крым,
"Вино Besini, Mukuzani 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Мукузани",
Вино Хороший Год Каберне 0.75 л,"Красное,  Сухое",Каберне Совиньон,Крым,
Вино Винный Алфавит Каберне 0.75 л,"Красное,  Сухое",Каберне Совиньон,Крым,
Вино Sun Valley Merlot 0.75 л,"Красное,  Сухое",Мерло,Крым,
Вино Sun Valley Red Dry 0.75 л,"Красное,  Сухое","Одесский Черный,  Красные сорта винограда,  Мерло,  Каберне Совиньон,  Бастардо Магарачский",Крым,
Вино Esse Red Dry 0.75 л,"Красное,  Сухое","Бастардо,  Каберне Фран,  Мерло,  Каберне Совиньон",Крым,
"Вино Kindzmarauli Marani, Kvareli 2017 0.75 л","Красное,  Сухое","Будешури,  Саперави","Грузия,  Кахетия",
Вино Пти Вердо Солнечной Долины 0.75 л,"Красное,  Сухое","Кефесия,  Пти Вердо",Крым,
"Вино Fonvene Reserve Rouge, Ardeche IGP 0.75 л","Красное,  Сухое","Уни Блан,  Гренаш Блан,  Совиньон Блан","Франция,  Долина Роны",
"Вино Kindzmarauli Marani, Saperavi 2018 0.75 л","Красное,  Сухое",Саперави,"Грузия,  Кахетия,  Киндзмараули",
Вино Chatenet Rouge Sec 0.75 л,"Красное,  Сухое","Кариньяно,  Гренаш/Гарнача","Франция,  Лангедок-Руссийон",
"Вино Chateau la Blanchetterie, Bordeaux AOC 2016 0.75 л","Красное,  Сухое","Каберне Фран,  Пти Вердо,  Мерло,  Каберне Совиньон","Франция,  Бордо",
"Вино Chateau les Murailles, Bergerac AOC 2016 0.75 л","Красное,  Сухое","Каберне Фран,  Мерло,  Каберне Совиньон","Франция,  Юго-запад Франции",
"Вино Don Simon Premium Merlot, Tetra Pak 1 л","Красное,  Полусухое",Мерло,"Испания,  Кастилия Ла Манча",
"Вино Don Simon Premium Cabernet Sauvignon, Tetra Pak 1 л","Красное,  Полусухое",Каберне Совиньон,"Испания,  Кастилия Ла Манча",
"Вино Tavernello Rosso Semi-Dry, Tetra Prism 1 л","Красное,  Полусухое",Красные сорта винограда,Италия,
Вино Нимфея Красное Сухое 0.75 л,"Красное,  Сухое","Пино Нуар,  Мерло,  Каберне Совиньон",Крым,
"Вино Conti Serristori, Sangiovese di Toscana IGT 2019 0.75 л","Красное,  Сухое","Красные сорта винограда,  Санджовезе","Италия,  Тоскана,  Тоскана IGT",
Вино Puerto Meridional Tinto Semi-Dry 2016 0.75 л,"Красное,  Полусухое",Красные сорта винограда,Португалия,
